Area_name,STCOU,PST015171F,PST015171D,PST015171N1,PST015171N2,PST015172F,PST015172D,PST015172N1,PST015172N2,PST015173F,PST015173D,PST015173N1,PST015173N2,PST015174F,PST015174D,PST015174N1,PST015174N2,PST015175F,PST015175D,PST015175N1,PST015175N2,PST015176F,PST015176D,PST015176N1,PST015176N2,PST015177F,PST015177D,PST015177N1,PST015177N2,PST015178F,PST015178D,PST015178N1,PST015178N2,PST015179F,PST015179D,PST015179N1,PST015179N2,PST025181F,PST025181D,PST025181N1,PST025181N2
"Talladega, AL",1121,0,64751,0,0,0,64998,0,0,0,66635,0,0,0,68184,0,0,0,68956,0,0,0,70266,0,0,0,71749,0,0,0,72536,0,0,0,73503,0,0,0,74335,0,0
"Tallapoosa, AL",1123,0,33755,0,0,0,34888,0,0,0,35754,0,0,0,36526,0,0,0,36993,0,0,0,37676,0,0,0,37003,0,0,0,38675,0,0,0,39166,0,0,0,38737,0,0
"Tuscaloosa, AL",1125,0,119591,0,0,0,122153,0,0,0,123755,0,0,0,126186,0,0,0,127101,0,0,0,129276,0,0,0,130988,0,0,0,134249,0,0,0,135576,0,0,0,138741,0,0
"Walker, AL",1127,0,58705,0,0,0,61760,0,0,0,62844,0,0,0,64090,0,0,0,65782,0,0,0,66708,0,0,0,67998,0,0,0,68907,0,0,0,69078,0,0,0,68254,0,0
"Washington, AL",1129,0,16458,0,0,0,16392,0,0,0,16366,0,0,0,16540,0,0,0,16890,0,0,0,16623,0,0,0,16677,0,0,0,17117,0,0,0,16807,0,0,0,17579,0,0
"Wilcox, AL",1131,0,16245,0,0,0,15768,0,0,0,15177,0,0,0,14511,0,0,0,14756,0,0,0,14769,0,0,0,14607,0,0,0,14509,0,0,0,14444,0,0,0,14872,0,0
"Winston, AL",1133,0,17730,0,0,0,19078,0,0,0,19958,0,0,0,20125,0,0,0,20427,0,0,0,20980,0,0,0,21537,0,0,0,21699,0,0,0,22223,0,0,0,21976,0,0
ALASKA,2000,0,316494,0,0,0,326494,0,0,0,333232,0,0,0,344696,0,0,0,370973,0,0,0,393115,0,0,0,397363,0,0,0,402191,0,0,0,403501,0,0,0,418519,0,0
"Aleutians East, AK",2013,2,0,5080,0,2,0,5080,0,2,0,5080,0,2,0,5080,0,2,0,5080,0,2,0,5080,0,2,0,5080,0,2,0,5080,0,2,0,5080,0,2,0,5080,0
"Aleutians West, AK",2016,1,8023,5080,0,1,7845,5080,0,1,7734,5080,0,1,8470,5080,0,1,8523,5080,0,1,8599,5080,0,1,8458,5080,0,1,8067,5080,0,1,7829,5080,0,1,7979,5080,0
"Anchorage, AK",2020,0,134609,0,0,0,143192,0,0,0,147305,0,0,0,152375,0,0,0,165023,0,0,0,174486,0,0,0,176993,0,0,0,179632,0,0,0,178817,0,0,0,180974,0,0
"Bethel, AK",2050,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,11250,0,0
"Bristol Bay, AK",2060,0,1178,0,0,0,1044,0,0,0,1079,0,0,0,1137,0,0,0,1195,0,0,0,1178,0,0,0,1175,0,0,0,1085,0,0,0,1092,0,0,0,1194,0,0
"Denali, AK",2068,2,0,5082,0,2,0,5082,0,2,0,5082,0,2,0,5082,0,2,0,5082,0,2,0,5082,0,2,0,5082,0,2,0,5082,0,2,0,5082,0,2,0,5082,0
"Dillingham, AK",2070,1,3571,5081,0,1,3728,5081,0,1,3789,5081,0,1,3896,5081,0,1,4093,5081,0,1,4120,5081,0,1,4161,5081,0,1,4241,5081,0,1,4191,5081,0,1,4450,5081,0
"Fairbanks North Star, AK",2090,0,47258,0,0,0,47688,0,0,0,47652,0,0,0,48478,0,0,0,51763,0,0,0,55981,0,0,0,55431,0,0,0,55323,0,0,0,54908,0,0,0,56581,0,0
"Haines, AK",2100,0,1722,0,0,0,1691,0,0,0,1692,0,0,0,1844,0,0,0,1996,0,0,0,1915,0,0,0,1742,0,0,0,1670,0,0,0,1684,0,0,0,1783,0,0
"Hoonah-Angoon, AK",2105,1,2685,5084,0,1,2771,5084,0,1,2664,5084,0,1,2859,5084,0,1,3253,5084,0,1,3265,5084,0,1,3191,5084,0,1,3467,5084,0,1,3347,5084,0,1,3426,5084,0
"Juneau, AK",2110,0,14671,0,0,0,15150,0,0,0,15860,0,0,0,16574,0,0,0,17647,0,0,0,18620,0,0,0,19142,0,0,0,19427,0,0,0,19865,0,0,0,20492,0,0
